Il n'est pas pauvre celui qui a peu, mais celui qui en veut toujours plus.,Sénèque,,contemplative,minimalism|nature|simple|water,#stoicisme|#sénèque|#richesse|#citation|#philosophie|#quotes|#minimalisme|#sagesse|#mindset,0,;
Dépêche-toi de vivre, et pense que chaque jour est une vie à part entière.,Sénèque,,energetic,sunrise|running|life|energy,#stoicisme|#sénèque|#carpe diem|#citation|#philosophie|#quotes|#motivation|#vie|#mindset,0,;
Il n'y a pas de vent favorable pour celui qui ne sait pas où il va.,Sénèque,,contemplative,ocean|sail|compass|horizon,#stoicisme|#sénèque|#direction|#citation|#philosophie|#quotes|#objectif|#sagesse|#mindset,0,;
La gratitude est non seulement la plus grande des vertus, mais la mère de toutes les autres.,Sénèque,,calm,nature|sunrise|flowers|light,#stoicisme|#sénèque|#gratitude|#citation|#philosophie|#quotes|#vertu|#sagesse|#motivation,0,;
Rentre en toi-même autant que tu le peux.,Sénèque,Recede in te ipse quantum potes.,contemplative,meditation|solitude|candle|silence,#stoicisme|#sénèque|#méditation|#citation|#philosophie|#quotes|#latin|#introspection|#mindset,0,;
La vie, c'est comme une pièce de théâtre : ce qui compte, ce n'est pas la longueur, mais la qualité du jeu.,Sénèque,,contemplative,stage|light|theater|art,#stoicisme|#sénèque|#vie|#citation|#philosophie|#quotes|#sagesse|#qualité|#mindset,0,;
Celui qui vit partout ne vit nulle part.,Sénèque,Nusquam est qui ubique est.,contemplative,alone|solitude|forest|silence,#stoicisme|#sénèque|#présence|#citation|#philosophie|#quotes|#latin|#focus|#mindset,0,;
Pendant qu'on remet à demain, la vie s'écoule.,Sénèque,Dum differtur vita transcurrit.,energetic,hourglass|time|river|flow,#stoicisme|#sénèque|#procrastination|#citation|#philosophie|#quotes|#latin|#action|#mindset,0,;
"Ce qui ne me tue pas me rend plus fort.,Friedrich Nietzsche,""Was mich nicht umbringt, macht mich stärker."",triumphant,fire|phoenix|mountain|strength,#nietzsche|#philosophie|#citation|#force|#résilience|#quotes|#motivation|#mindset|#stoic,0,";
"Il faut avoir le chaos en soi pour enfanter une étoile qui danse.,Friedrich Nietzsche,""Man muss noch Chaos in sich haben, um einen tanzenden Stern gebären zu können."",energetic,stars|nebula|fire|energy,#nietzsche|#philosophie|#citation|#créativité|#quotes|#motivation|#mindset|#étoile|#chaos,0,";
"Devenez ce que vous êtes.,Friedrich Nietzsche,""Werde, der du bist."",triumphant,sunrise|mountain|eagle|freedom,#nietzsche|#philosophie|#citation|#authenticité|#quotes|#motivation|#mindset|#identité|#stoic,0,";
Sans musique, la vie serait une erreur.,Friedrich Nietzsche,Ohne Musik wäre das Leben ein Irrtum.,melancholic,music|piano|melody|emotion,#nietzsche|#philosophie|#citation|#musique|#quotes|#art|#vie|#beauté|#culture,0,;
L'homme qui a un pourquoi peut supporter presque n'importe quel comment.,Friedrich Nietzsche,,triumphant,mountain|determination|path|light,#nietzsche|#philosophie|#citation|#sens|#quotes|#motivation|#résilience|#mindset|#purpose,0,;
On ne peut s'élever qu'en ne regardant pas en bas.,Friedrich Nietzsche,,triumphant,climbing|mountain|sky|eagle,#nietzsche|#philosophie|#citation|#élévation|#quotes|#motivation|#ambition|#mindset|#success,0,;
La joie veut l'éternité de toutes choses.,Friedrich Nietzsche,Die Lust will aller Dinge Ewigkeit.,triumphant,sunset|ocean|stars|universe,#nietzsche|#philosophie|#citation|#joie|#quotes|#bonheur|#éternité|#mindset|#beautiful,0,;
On est libre non pas quand on peut faire n'importe quoi, mais quand on peut refuser n'importe quoi.,Friedrich Nietzsche,,triumphant,freedom|open sky|wind|nature,#nietzsche|#philosophie|#citation|#liberté|#quotes|#force|#mindset|#choix|#stoic,0,;
Nul ne peut te donner ton chemin, tu dois le trouver toi-même.,Friedrich Nietzsche,,contemplative,path|forest|trail|hiking,#nietzsche|#philosophie|#citation|#chemin|#quotes|#motivation|#authenticité|#mindset|#purpose,0,;
"Là où croît le péril, croît aussi ce qui sauve.,Friedrich Nietzsche,""Wo aber Gefahr ist, wächst das Rettende auch."",triumphant,storm|light|hope|nature,#nietzsche|#hölderlin|#philosophie|#citation|#espoir|#quotes|#résilience|#mindset|#danger,0,";
Connais-toi toi-même.,Socrate,Γνῶθι σαυτόν — Gnôthi seauton.,contemplative,mirror|reflection|meditation|calm water,#socrate|#philosophie|#citation|#sagesse|#quotes|#introspection|#mindset|#grec|#connaissance,0,;
Je sais que je ne sais rien.,Socrate,Ἓν οἶδα ὅτι οὐδὲν οἶδα — Hen oida hoti ouden oida.,contemplative,library|books|light|knowledge,#socrate|#philosophie|#citation|#humilité|#quotes|#sagesse|#grec|#mindset|#connaissance,0,;
La vie sans examen ne vaut pas la peine d'être vécue.,Socrate,ὁ ἀνεξέταστος βίος οὐ βιωτὸς ἀνθρώπῳ.,contemplative,candle|thinking|library|reflection,#socrate|#philosophie|#citation|#sens|#quotes|#sagesse|#grec|#mindset|#introspection,0,;
L'éducation est l'allumage d'une flamme, pas le remplissage d'un vase.,Socrate,,energetic,fire|torch|light|spark,#socrate|#philosophie|#citation|#éducation|#quotes|#apprentissage|#mindset|#inspiration|#sagesse,0,;
Mieux vaut souffrir une injustice que la commettre.,Socrate,,calm,justice|scales|light|calm,#socrate|#philosophie|#citation|#justice|#quotes|#sagesse|#morale|#mindset|#éthique,0,;
Les faux amis sont pires que les ennemis déclarés.,Socrate,,melancholic,shadow|betrayal|solitude|dark,#socrate|#philosophie|#citation|#amitié|#quotes|#sagesse|#trahison|#mindset|#vérité,0,;
Le commencement est la partie la plus importante de tout travail.,Platon,,energetic,sunrise|start|path|horizon,#platon|#philosophie|#citation|#début|#quotes|#motivation|#mindset|#action|#success,0,;
Le courage est savoir ce qu'il ne faut pas craindre.,Platon,,triumphant,warrior|lion|strength|fire,#platon|#philosophie|#citation|#courage|#quotes|#motivation|#force|#mindset|#sagesse,0,;
La musique donne une âme à nos cœurs et des ailes à la pensée.,Platon,,calm,music|notes|nature|peaceful,#platon|#philosophie|#citation|#musique|#quotes|#âme|#art|#beauté|#mindset,0,;
L'ignorance est la racine de tous les maux.,Platon,,contemplative,darkness|light|books|knowledge,#platon|#philosophie|#citation|#connaissance|#quotes|#sagesse|#éducation|#mindset|#vérité,0,;
Seuls les morts ont vu la fin de la guerre.,Platon,,melancholic,fog|solitude|silence|memorial,#platon|#philosophie|#citation|#paix|#quotes|#guerre|#humanité|#méditation|#vérité,0,;
Une bonne action n'est jamais perdue.,Platon,,calm,helping|light|warmth|sunrise,#platon|#philosophie|#citation|#bonté|#quotes|#karma|#sagesse|#mindset|#kindness,0,;
Les bons sont ceux qui se contentent de rêver ce que les mauvais font réellement.,Platon,,contemplative,dream|night sky|stars|sleeping,#platon|#philosophie|#citation|#rêve|#quotes|#moral|#sagesse|#mindset|#vérité,0,;
Le talent frappe une cible que les autres ne peuvent atteindre. Le génie frappe une cible que les autres ne peuvent même pas voir.,Arthur Schopenhauer,,triumphant,archery|target|eagle|precision,#schopenhauer|#philosophie|#citation|#génie|#quotes|#talent|#créativité|#mindset|#success,0,;
La compassion est le fondement de toute morale.,Arthur Schopenhauer,,calm,helping hands|light|warmth|nature,#schopenhauer|#philosophie|#citation|#compassion|#quotes|#morale|#sagesse|#kindness|#mindset,0,;
Chaque homme prend les limites de son propre champ de vision pour les limites du monde.,Arthur Schopenhauer,,contemplative,horizon|perspective|mountain|sky,#schopenhauer|#philosophie|#citation|#perception|#quotes|#sagesse|#vision|#mindset|#ouverture,0,;
Dans la solitude, le médiocre s'ennuie, le talentueux se repose, le génie se révèle.,Arthur Schopenhauer,,contemplative,solitude|forest|cabin|peace,#schopenhauer|#philosophie|#citation|#solitude|#quotes|#génie|#sagesse|#mindset|#introversion,0,;
La richesse est comme l'eau de mer : plus on en boit, plus on a soif.,Arthur Schopenhauer,,contemplative,ocean|thirst|desert|water,#schopenhauer|#philosophie|#citation|#richesse|#quotes|#désir|#sagesse|#mindset|#matérialisme,0,;
Acheter des livres serait bien si l'on pouvait également acheter le temps de les lire.,Arthur Schopenhauer,,melancholic,books|library|time|reading,#schopenhauer|#philosophie|#citation|#livres|#quotes|#temps|#lecture|#sagesse|#humor,0,;
Les neuf dixièmes de notre bonheur reposent sur la santé.,Arthur Schopenhauer,,calm,nature|health|running|sunrise,#schopenhauer|#philosophie|#citation|#santé|#quotes|#bonheur|#sagesse|#mindset|#wellbeing,0,;
Le changement seul est éternel, perpétuel, immortel.,Arthur Schopenhauer,,contemplative,river|seasons|time|flow,#schopenhauer|#philosophie|#citation|#changement|#quotes|#temps|#sagesse|#mindset|#eternel,0,;
Tout ce qui existe à un moment a existé pour l'éternité.,Arthur Schopenhauer,,contemplative,universe|stars|time|cosmos,#schopenhauer|#philosophie|#citation|#éternité|#quotes|#temps|#cosmos|#mindset|#sagesse,0,;
L'homme peut certes faire ce qu'il veut, mais il ne peut pas vouloir ce qu'il veut.,Arthur Schopenhauer,,contemplative,choice|crossroads|path|thinking,#schopenhauer|#philosophie|#citation|#liberté|#quotes|#volonté|#sagesse|#mindset|#destin,0,;
Tout grand homme a reçu le don de la solitude.,Arthur Schopenhauer,,contemplative,solitude|mountain|alone|sky,#schopenhauer|#philosophie|#citation|#solitude|#quotes|#grandeur|#sagesse|#mindset|#génie,0,;
Le présent est la seule réalité.,Marc Aurèle,,calm,present moment|nature|calm|mindfulness,#marcaurele|#stoicisme|#présent|#citation|#philosophie|#quotes|#mindfulness|#mindset|#sagesse,0,;
Rends-toi maître de tes émotions, ou elles se rendront maîtresses de toi.,Épictète,,calm,meditation|water|calm|control,#épictète|#stoicisme|#émotions|#citation|#philosophie|#quotes|#contrôle|#mindset|#sagesse,0,;
Commence à être maintenant ce que tu veux être dans la vie.,Épictète,,energetic,sunrise|action|energy|motivation,#épictète|#stoicisme|#action|#citation|#philosophie|#quotes|#motivation|#mindset|#now,0,;
Tout est opinion, et l'opinion dépend de toi.,Marc Aurèle,,calm,mind|perspective|light|meditation,#marcaurele|#stoicisme|#opinion|#citation|#philosophie|#quotes|#mindset|#perception|#sagesse,0,;
Vis chaque journée comme si c'était la dernière, mais aussi comme si tu devais vivre pour toujours.,Sénèque,,energetic,sunrise|life|energy|horizon,#sénèque|#stoicisme|#carpe diem|#citation|#philosophie|#quotes|#motivation|#mindset|#vie,0,;
Le sage ne se laisse pas troubler par ce qu'il ne peut pas changer.,Épictète,,calm,mountain|rock|water|stability,#épictète|#stoicisme|#sagesse|#citation|#philosophie|#quotes|#paix|#mindset|#sérénité,0,;
Aimer et être sage est impossible.,Sénèque,Amare et sapere vix deo conceditur.,melancholic,love|rain|flowers|romantic,#sénèque|#stoicisme|#amour|#citation|#philosophie|#quotes|#latin|#sagesse|#romance,0,;
"Là où il y a de la vie, il y a de l'espoir.,Sénèque,""Dum anima est, spes est."",calm,sunrise|spring|flowers|light,#sénèque|#stoicisme|#espoir|#citation|#philosophie|#quotes|#vie|#mindset|#motivation,0,";
Le secret du bonheur n'est pas dans la recherche de plus, mais dans le développement de la capacité à jouir de moins.,Socrate,,contemplative,minimalism|nature|simple|peace,#socrate|#philosophie|#bonheur|#citation|#sagesse|#quotes|#minimalisme|#mindset|#wellbeing,0,;
La vraie sagesse consiste à ne pas s'écarter de la nature.,Sénèque,,calm,forest|nature|trees|hiking,#sénèque|#stoicisme|#nature|#citation|#philosophie|#quotes|#sagesse|#mindset|#ecologie,0,;
Ce que nous faisons dans la vie résonne dans l'éternité.,Marc Aurèle,,triumphant,stars|universe|legacy|sunrise,#marcaurele|#stoicisme|#héritage|#citation|#philosophie|#quotes|#éternité|#mindset|#legacy,0,;
La connaissance de soi est le commencement de la sagesse.,Socrate,,contemplative,reflection|mirror|water|calm,#socrate|#philosophie|#connaissance|#citation|#sagesse|#quotes|#introspection|#mindset|#growth,0,;
Mieux vaut chercher à être de valeur qu'à être le succès.,Albert Einstein,,contemplative,books|light|discovery|science,#einstein|#science|#citation|#valeur|#quotes|#sagesse|#success|#mindset|#caractère,0,;
La vie n'est pas un problème à résoudre, mais une réalité à expérimenter.,Søren Kierkegaard,,contemplative,journey|nature|path|adventure,#kierkegaard|#philosophie|#citation|#vie|#quotes|#sagesse|#expérience|#mindset|#existence,0,;
Être soi-même dans un monde qui essaie constamment de faire de toi quelqu'un d'autre est la plus grande réalisation.,Ralph Waldo Emerson,,triumphant,individual|freedom|nature|stand,#emerson|#philosophie|#citation|#authenticité|#quotes|#sagesse|#motivation|#mindset|#soi,0,;
L'imagination est plus importante que la connaissance.,Albert Einstein,,energetic,stars|universe|creativity|light,#einstein|#science|#citation|#imagination|#quotes|#créativité|#mindset|#innovation|#genius,0,;
Tout ce que tu peux faire ou rêver de pouvoir faire, commence-le.,Johann Wolfgang von Goethe,,energetic,sunrise|action|energy|determination,#goethe|#philosophie|#citation|#action|#quotes|#motivation|#rêves|#mindset|#begin,0,;
La vie est ce qui arrive pendant que tu es occupé à faire d'autres plans.,John Lennon,,melancholic,busy city|time|life|moments,#lennon|#sagesse|#citation|#vie|#quotes|#présent|#mindset|#moments|#carpe diem,0,;
Commence par faire le nécessaire, puis le possible, et soudain tu feras l'impossible.,Marc Aurèle,,contemplative,mountain|sunrise|effort|path,#stoicisme|#marcaurele|#philosophie|#citation|#sagesse|#motivation|#possible|#impossible|#mindset,0,;
Nulle chose ne peut vraiment te nuire si tu refuses de la laisser te nuire.,Marc Aurèle,,calm,ocean|horizon|peace|strength,#stoicisme|#marcaurele|#résilience|#sagesse|#philosophie|#citation|#mindset|#force|#quotes,0,;
Vis comme si chaque jour était le dernier. Mais aussi comme si tu allais vivre éternellement.,Marc Aurèle,,energetic,sunset|sunrise|running|freedom,#stoicisme|#marcaurele|#carpe diem|#philosophie|#vivre|#citation|#motivation|#mindset|#quotes,0,;
On souffre plus dans l'imagination que dans la réalité.,Marc Aurèle,Plus malum ex opinione quam ex re.,calm,meditation|candle|mind|stillness,#stoicisme|#marcaurele|#philosophie|#sagesse|#imagination|#citation|#mindset|#stoic|#latin,0,;
La vie de l'homme n'est qu'un moment, son existence un flux, sa sensation trouble.,Marc Aurèle,,melancholic,river|fog|time|flow,#stoicisme|#marcaurele|#philosophie|#temps|#citation|#sagesse|#méditation|#vie|#quotes,0,;
Ne te préoccupe pas de l'opinion des autres. Occupe-toi de toi-même.,Marc Aurèle,,calm,solitude|forest|path|freedom,#stoicisme|#marcaurele|#liberté|#sagesse|#philosophie|#citation|#mindset|#soi|#quotes,0,;
Si ce n'est pas éthique, ne le dis pas. Si ce n'est pas vrai, ne le dis pas.,Marc Aurèle,,contemplative,silence|nature|truth|clarity,#stoicisme|#marcaurele|#vérité|#éthique|#philosophie|#citation|#sagesse|#quotes|#stoic,0,;
L'amour de l'humanité et la pratique de la vertu sont inséparables.,Marc Aurèle,,warm,community|hands|light|together,#stoicisme|#marcaurele|#humanité|#vertu|#philosophie|#citation|#amour|#sagesse|#quotes,0,;
Cherche en toi-même, et tu trouveras la source de tout bien.,Marc Aurèle,,contemplative,mirror|lake|reflection|inner,#stoicisme|#marcaurele|#développementpersonnel|#sagesse|#philosophie|#citation|#intérieur|#soi|#quotes,0,;
Le temps est un fleuve d'événements fugitifs, et son courant est violent.,Marc Aurèle,,melancholic,river|water|flow|time,#stoicisme|#marcaurele|#temps|#philosophie|#sagesse|#citation|#carpe diem|#vie|#quotes,0,;
Tout ce qui existe s'évanouit vite, les êtres comme les souvenirs.,Marc Aurèle,,melancholic,fog|autumn|leaves|memory,#stoicisme|#marcaurele|#temps|#philosophie|#sagesse|#citation|#impermanence|#vie|#quotes,0,;
La raison est le guide de toutes choses.,Marc Aurèle,,contemplative,compass|light|stars|clarity,#stoicisme|#marcaurele|#raison|#philosophie|#sagesse|#citation|#mindset|#stoic|#quotes,0,;
Aie confiance que tout est fait pour le mieux.,Marc Aurèle,,warm,sunrise|hope|light|morning,#stoicisme|#marcaurele|#confiance|#philosophie|#sagesse|#optimisme|#citation|#mindset|#quotes,0,;
Sois content de ce que tu as ; réjouis-toi de ce que tu es.,Marc Aurèle,,calm,garden|stillness|gratitude|nature,#stoicisme|#marcaurele|#gratitude|#philosophie|#sagesse|#citation|#contentement|#mindset|#quotes,0,
Nul ne peut te voler ta liberté intérieure.,Marc Aurèle,,energetic,eagle|sky|freedom|flight,#stoicisme|#marcaurele|#liberté|#philosophie|#sagesse|#citation|#mindset|#stoic|#quotes,0,;
La tranquillité n'est rien d'autre que le bon ordre de l'esprit.,Marc Aurèle,,calm,zen|garden|water|peace,#stoicisme|#marcaurele|#tranquillité|#philosophie|#sagesse|#citation|#méditation|#mindset|#quotes,0,;
Sois maître de toi-même avant de vouloir maîtriser les autres.,Marc Aurèle,,energetic,mountain|peak|solitude|strength,#stoicisme|#marcaurele|#maîtrise|#philosophie|#sagesse|#citation|#leadership|#mindset|#quotes,0,;
Le bonheur de ta vie dépend de la qualité de tes pensées.,Marc Aurèle,,warm,sunshine|flowers|smile|mind,#stoicisme|#marcaurele|#bonheur|#philosophie|#sagesse|#citation|#pensée|#mindset|#quotes,0,;
Ce qui est bon pour la vérité est toujours bon pour toi.,Marc Aurèle,,contemplative,clarity|dawn|truth|light,#stoicisme|#marcaurele|#vérité|#philosophie|#sagesse|#citation|#stoic|#mindset|#quotes,0,;
Dans la douleur, souviens-toi que ce n'est pas une honte, et que cela n'affaiblit pas l'intelligence qui gouverne.,Marc Aurèle,,melancholic,rain|storm|strength|endure,#stoicisme|#marcaurele|#douleur|#philosophie|#sagesse|#résilience|#citation|#stoic|#quotes,0,;
L'homme qui a peur de la mort craint la vie.,Marc Aurèle,,melancholic,shadow|fog|mortality|truth,#stoicisme|#marcaurele|#mort|#philosophie|#sagesse|#citation|#stoic|#vie|#quotes,0,;
L'essentiel est d'agir et non de spéculer.,Marc Aurèle,,energetic,action|running|forward|move,#stoicisme|#marcaurele|#action|#philosophie|#sagesse|#citation|#motivation|#mindset|#quotes,0,;
Examine tes désirs avec sévérité, et tu n'auras rien à regretter.,Marc Aurèle,,contemplative,candle|meditation|mind|clarity,#stoicisme|#marcaurele|#désirs|#philosophie|#sagesse|#citation|#stoic|#mindset|#quotes,0,;
Pratique la vertu même si tu ne dois en recueillir aucune récompense.,Marc Aurèle,,warm,giving|sunrise|nature|kindness,#stoicisme|#marcaurele|#vertu|#philosophie|#sagesse|#citation|#stoic|#mindset|#quotes,0,;
Le monde est changement, la vie est opinion.,Marc Aurèle,,contemplative,clouds|sky|change|flow,#stoicisme|#marcaurele|#changement|#philosophie|#sagesse|#citation|#perception|#mindset|#quotes,0,;
Juge toujours les choses d'après ta raison, jamais d'après les rumeurs.,Marc Aurèle,,calm,clarity|truth|mind|logic,#stoicisme|#marcaurele|#raison|#philosophie|#sagesse|#citation|#stoic|#mindset|#quotes,0,;
La nature de l'univers aime rien tant que transformer ce qui existe.,Marc Aurèle,,contemplative,seasons|change|nature|transform,#stoicisme|#marcaurele|#changement|#nature|#philosophie|#sagesse|#citation|#stoic|#quotes,0,;
Qui a peur de souffrir souffre déjà de ce qu'il craint.,Marc Aurèle,,melancholic,rain|fear|shadow|strength,#stoicisme|#marcaurele|#peur|#philosophie|#sagesse|#résilience|#citation|#stoic|#quotes,0,;
Commence à être maintenant ce que tu veux être.,Marc Aurèle,,energetic,sunrise|start|begin|new,#stoicisme|#marcaurele|#motivation|#philosophie|#sagesse|#citation|#maintenant|#mindset|#quotes,0,;
L'obstacle sur le chemin devient le chemin.,Marc Aurèle,,energetic,rock|mountain|path|overcome,#stoicisme|#marcaurele|#obstacle|#philosophie|#résilience|#citation|#mindset|#motivation|#quotes,0,;
Reçois sans orgueil, cède sans résistance.,Marc Aurèle,,calm,water|flow|ocean|letting go,#stoicisme|#marcaurele|#lâcherprise|#philosophie|#sagesse|#citation|#humilité|#stoic|#quotes,0,;
La mort n'est pas à craindre, car elle ne concerne que ceux qui sont vivants.,Marc Aurèle,,melancholic,stars|night|eternity|calm,#stoicisme|#marcaurele|#mort|#philosophie|#sagesse|#citation|#stoic|#carpe diem|#quotes,0,;
Tout ce que tu vis n'est que le présent.,Marc Aurèle,,calm,now|present|stillness|moment,#stoicisme|#marcaurele|#présent|#philosophie|#sagesse|#mindfulness|#citation|#stoic|#quotes,0,;
Garde-toi de faire ce que tu condamnes chez les autres.,Marc Aurèle,,contemplative,mirror|reflection|truth|ethics,#stoicisme|#marcaurele|#cohérence|#philosophie|#sagesse|#citation|#éthique|#stoic|#quotes,0,;
C'est une honte de mettre en paroles sa sagesse et non en actes.,Marc Aurèle,,energetic,action|doing|practice|path,#stoicisme|#marcaurele|#action|#philosophie|#sagesse|#citation|#cohérence|#stoic|#quotes,0,;
Puise la tranquillité dans la vie simple.,Marc Aurèle,,calm,simplicity|nature|peace|morning,#stoicisme|#marcaurele|#simplicité|#philosophie|#sagesse|#citation|#sérénité|#stoic|#quotes,0,;
Discipline ta langue avant tout autre membre.,Marc Aurèle,,contemplative,silence|wisdom|mouth|truth,#stoicisme|#marcaurele|#discipline|#philosophie|#sagesse|#citation|#silence|#stoic|#quotes,0,;
L'univers est une seule vie et une seule âme.,Marc Aurèle,,contemplative,cosmos|stars|universe|connected,#stoicisme|#marcaurele|#univers|#philosophie|#sagesse|#citation|#cosmos|#stoic|#quotes,0,;
Sois fort, et sois utile à tes semblables.,Marc Aurèle,,warm,community|strength|helping|together,#stoicisme|#marcaurele|#force|#philosophie|#sagesse|#citation|#utilité|#stoic|#quotes,0,;
Accepte les choses auxquelles le destin te lie.,Marc Aurèle,,calm,river|flow|acceptance|nature,#stoicisme|#marcaurele|#acceptation|#philosophie|#sagesse|#citation|#destin|#stoic|#quotes,0,;
Ce que tu cherches te cherche aussi.,Rumi,,warm,search|stars|soul|connection,#rumi|#poésie|#mystique|#soufi|#citation|#amour|#sagesse|#spiritualité|#quotes,0,;
Vends ta sagesse et achète de l'étonnement.,Rumi,,contemplative,wonder|stars|child|discovery,#rumi|#poésie|#mystique|#sagesse|#citation|#émerveillement|#spiritualité|#quotes|#soufi,0,;
Pourquoi restes-tu en prison alors que la porte est grande ouverte ?,Rumi,,energetic,door|light|freedom|open,#rumi|#poésie|#liberté|#mystique|#citation|#âme|#sagesse|#spiritualité|#quotes,0,;
L'amour est le pont entre toi et tout le reste.,Rumi,,warm,bridge|light|connection|heart,#rumi|#amour|#poésie|#mystique|#citation|#âme|#sagesse|#spiritualité|#quotes,0,;
Laisse le silence te parler des secrets de l'univers.,Rumi,,contemplative,silence|stars|night|cosmos,#rumi|#silence|#poésie|#mystique|#citation|#univers|#sagesse|#spiritualité|#quotes,0,;
Sors de ton cercle de temps. Entre dans le cercle de l'amour.,Rumi,,warm,circle|infinity|love|light,#rumi|#amour|#poésie|#temps|#mystique|#citation|#sagesse|#spiritualité|#quotes,0,;
Ne te lamente pas sur ce qui est passé. Cela ne reviendra pas.,Rumi,,melancholic,sunset|letting go|past|acceptance,#rumi|#poésie|#lâcherprise|#mystique|#citation|#passé|#sagesse|#spiritualité|#quotes,0,;
Le cœur est la mer. La langue est sa rive.,Rumi,,contemplative,ocean|waves|shore|heart,#rumi|#poésie|#cœur|#mystique|#citation|#âme|#sagesse|#spiritualité|#quotes,0,;
